"Date ","Winning Numbers ","Powerball® ","PowerPlay® "
" 9/7/2024 "," Powerball® Numbers 14 - 34 - 37 - 55 - 63 "," 20 "," 2 "," "
""," Double Play® Numbers 14 - 16 - 20 - 30 - 47 "," 22 "," --- "," "
" 9/4/2024 "," Powerball® Numbers 7 - 10 - 21 - 33 - 59 "," 20 "," 3 "," "
""," Double Play® Numbers 4 - 21 - 34 - 35 - 41 "," 9 "," --- "," "
" 9/2/2024 "," Powerball® Numbers 8 - 42 - 46 - 48 - 53 "," 22 "," 3 "," "
""," Double Play® Numbers 4 - 12 - 13 - 16 - 67 "," 7 "," --- "," "
" 8/31/2024 "," Powerball® Numbers 4 - 34 - 35 - 38 - 69 "," 19 "," 2 "," "
""," Double Play® Numbers 19 - 32 - 43 - 55 - 58 "," 12 "," --- "," "
" 8/28/2024 "," Powerball® Numbers 5 - 33 - 47 - 50 - 64 "," 20 "," 2 "," "
""," Double Play® Numbers 9 - 11 - 31 - 52 - 54 "," 25 "," --- "," "
" 8/26/2024 "," Powerball® Numbers 2 - 4 - 23 - 68 - 69 "," 15 "," 3 "," "
""," Double Play® Numbers 19 - 50 - 55 - 58 - 66 "," 15 "," --- "," "
" 8/24/2024 "," Powerball® Numbers 5 - 15 - 21 - 24 - 43 "," 17 "," 3 "," "
""," Double Play® Numbers 1 - 26 - 32 - 64 - 65 "," 16 "," --- "," "
" 8/21/2024 "," Powerball® Numbers 27 - 31 - 33 - 38 - 67 "," 3 "," 2 "," "
""," Double Play® Numbers 2 - 3 - 28 - 52 - 69 "," 3 "," --- "," "
" 8/19/2024 "," Powerball® Numbers 1 - 2 - 15 - 23 - 28 "," 10 "," 2 "," "
""," Double Play® Numbers 22 - 48 - 50 - 57 - 69 "," 1 "," --- "," "
" 8/17/2024 "," Powerball® Numbers 12 - 31 - 43 - 45 - 46 "," 22 "," 5 "," "
""," Double Play® Numbers 9 - 12 - 25 - 51 - 56 "," 22 "," --- "," "
" 8/14/2024 "," Powerball® Numbers 8 - 9 - 23 - 29 - 62 "," 13 "," 2 "," "
""," Double Play® Numbers 16 - 27 - 34 - 62 - 66 "," 22 "," --- "," "
" 8/12/2024 "," Powerball® Numbers 9 - 22 - 57 - 67 - 68 "," 14 "," 3 "," "
""," Double Play® Numbers 5 - 35 - 49 - 60 - 62 "," 17 "," --- "," "
" 8/10/2024 "," Powerball® Numbers 9 - 24 - 33 - 64 - 69 "," 9 "," 2 "," "
""," Double Play® Numbers 6 - 14 - 53 - 59 - 62 "," 12 "," --- "," "
" 8/7/2024 "," Powerball® Numbers 6 - 19 - 35 - 47 - 57 "," 9 "," 3 "," "
""," Double Play® Numbers 16 - 29 - 31 - 60 - 65 "," 26 "," --- "," "
" 8/5/2024 "," Powerball® Numbers 29 - 42 - 44 - 51 - 54 "," 12 "," 2 "," "
""," Double Play® Numbers 2 - 18 - 31 - 45 - 60 "," 8 "," --- "," "
" 8/3/2024 "," Powerball® Numbers 13 - 33 - 40 - 60 - 61 "," 20 "," 3 "," "
""," Double Play® Numbers 13 - 18 - 29 - 43 - 56 "," 8 "," --- "," "
" 7/31/2024 "," Powerball® Numbers 23 - 34 - 37 - 50 - 58 "," 7 "," 2 "," "
""," Double Play® Numbers 10 - 24 - 41 - 48 - 61 "," 9 "," --- "," "
" 7/29/2024 "," Powerball® Numbers 11 - 27 - 30 - 33 - 44 "," 16 "," 3 "," "
""," Double Play® Numbers 20 - 21 - 36 - 54 - 63 "," 21 "," --- "," "
" 7/27/2024 "," Powerball® Numbers 3 - 31 - 37 - 40 - 64 "," 17 "," 3 "," "
""," Double Play® Numbers 19 - 45 - 57 - 64 - 69 "," 7 "," --- "," "
" 7/24/2024 "," Powerball® Numbers 16 - 42 - 59 - 63 - 68 "," 13 "," 2 "," "
""," Double Play® Numbers 4 - 9 - 20 - 47 - 51 "," 9 "," --- "," "
" 7/22/2024 "," Powerball® Numbers 31 - 36 - 56 - 58 - 69 "," 20 "," 2 "," "
""," Double Play® Numbers 17 - 34 - 44 - 49 - 66 "," 9 "," --- "," "
" 7/20/2024 "," Powerball® Numbers 18 - 25 - 31 - 40 - 57 "," 4 "," 3 "," "
""," Double Play® Numbers 10 - 14 - 31 - 34 - 67 "," 20 "," --- "," "
" 7/17/2024 "," Powerball® Numbers 24 - 27 - 32 - 47 - 66 "," 26 "," 2 "," "
""," Double Play® Numbers 3 - 24 - 49 - 56 - 60 "," 17 "," --- "," "
" 7/15/2024 "," Powerball® Numbers 9 - 31 - 39 - 40 - 45 "," 23 "," 3 "," "
""," Double Play® Numbers 3 - 13 - 41 - 55 - 61 "," 6 "," --- "," "
" 7/13/2024 "," Powerball® Numbers 9 - 55 - 59 - 66 - 69 "," 21 "," 2 "," "
""," Double Play® Numbers 40 - 57 - 59 - 64 - 65 "," 15 "," --- "," "
" 7/10/2024 "," Powerball® Numbers 7 - 11 - 12 - 27 - 46 "," 26 "," 3 "," "
""," Double Play® Numbers 16 - 17 - 33 - 56 - 66 "," 18 "," --- "," "
" 7/8/2024 "," Powerball® Numbers 20 - 22 - 31 - 33 - 45 "," 1 "," 3 "," "
""," Double Play® Numbers 10 - 17 - 19 - 25 - 59 "," 8 "," --- "," "
" 7/6/2024 "," Powerball® Numbers 5 - 32 - 35 - 39 - 49 "," 21 "," 2 "," "
""," Double Play® Numbers 22 - 27 - 52 - 62 - 69 "," 4 "," --- "," "
" 7/3/2024 "," Powerball® Numbers 2 - 26 - 33 - 55 - 57 "," 22 "," 2 "," "
""," Double Play® Numbers 19 - 22 - 38 - 55 - 61 "," 23 "," --- "," "
" 7/1/2024 "," Powerball® Numbers 5 - 9 - 32 - 39 - 55 "," 9 "," 2 "," "
""," Double Play® Numbers 12 - 18 - 32 - 59 - 61 "," 8 "," --- "," "
" 6/29/2024 "," Powerball® Numbers 26 - 51 - 54 - 61 - 69 "," 25 "," 3 "," "
""," Double Play® Numbers 6 - 28 - 49 - 53 - 69 "," 8 "," --- "," "
" 6/26/2024 "," Powerball® Numbers 4 - 9 - 36 - 47 - 56 "," 7 "," 5 "," "
""," Double Play® Numbers 4 - 19 - 27 - 37 - 56 "," 21 "," --- "," "
" 6/24/2024 "," Powerball® Numbers 5 - 6 - 36 - 53 - 69 "," 8 "," 2 "," "
""," Double Play® Numbers 1 - 31 - 33 - 54 - 60 "," 26 "," --- "," "
" 6/22/2024 "," Powerball® Numbers 4 - 5 - 15 - 32 - 62 "," 21 "," 2 "," "
""," Double Play® Numbers 6 - 23 - 48 - 49 - 54 "," 14 "," --- "," "
" 6/19/2024 "," Powerball® Numbers 4 - 27 - 44 - 50 - 64 "," 7 "," 3 "," "
""," Double Play® Numbers 16 - 23 - 35 - 50 - 59 "," 21 "," --- "," "
" 6/17/2024 "," Powerball® Numbers 30 - 48 - 53 - 58 - 66 "," 9 "," 2 "," "
""," Double Play® Numbers 30 - 41 - 42 - 67 - 68 "," 16 "," --- "," "
" 6/15/2024 "," Powerball® Numbers 4 - 36 - 48 - 54 - 56 "," 2 "," 3 "," "
""," Double Play® Numbers 30 - 38 - 44 - 54 - 55 "," 22 "," --- "," "
" 6/12/2024 "," Powerball® Numbers 19 - 30 - 31 - 61 - 62 "," 21 "," 2 "," "
""," Double Play® Numbers 12 - 13 - 59 - 68 - 69 "," 13 "," --- "," "
" 6/10/2024 "," Powerball® Numbers 3 - 10 - 33 - 58 - 59 "," 9 "," 2 "," "
""," Double Play® Numbers 9 - 15 - 27 - 32 - 65 "," 10 "," --- "," "
" 6/8/2024 "," Powerball® Numbers 8 - 38 - 52 - 54 - 64 "," 15 "," 3 "," "
""," Double Play® Numbers 11 - 21 - 57 - 58 - 68 "," 5 "," --- "," "
" 6/5/2024 "," Powerball® Numbers 8 - 44 - 45 - 51 - 69 "," 12 "," 3 "," "
""," Double Play® Numbers 4 - 11 - 20 - 45 - 49 "," 21 "," --- "," "
" 6/3/2024 "," Powerball® Numbers 19 - 29 - 35 - 36 - 45 "," 16 "," 2 "," "
""," Double Play® Numbers 25 - 39 - 46 - 47 - 51 "," 10 "," --- "," "
" 6/1/2024 "," Powerball® Numbers 28 - 38 - 52 - 54 - 68 "," 8 "," 2 "," "
""," Double Play® Numbers 24 - 40 - 53 - 56 - 59 "," 5 "," --- "," "
" 5/29/2024 "," Powerball® Numbers 17 - 34 - 56 - 60 - 61 "," 9 "," 2 "," "
""," Double Play® Numbers 23 - 29 - 35 - 36 - 39 "," 22 "," --- "," "
" 5/27/2024 "," Powerball® Numbers 9 - 30 - 39 - 49 - 59 "," 21 "," 5 "," "
""," Double Play® Numbers 20 - 31 - 39 - 45 - 56 "," 19 "," --- "," "
" 5/25/2024 "," Powerball® Numbers 6 - 33 - 35 - 36 - 64 "," 24 "," 3 "," "
""," Double Play® Numbers 23 - 25 - 39 - 40 - 47 "," 10 "," --- "," "
" 5/22/2024 "," Powerball® Numbers 5 - 16 - 18 - 26 - 67 "," 4 "," 3 "," "
""," Double Play® Numbers 10 - 12 - 19 - 21 - 67 "," 25 "," --- "," "
" 5/20/2024 "," Powerball® Numbers 1 - 7 - 48 - 64 - 68 "," 5 "," 2 "," "
""," Double Play® Numbers 5 - 38 - 39 - 41 - 69 "," 25 "," --- "," "
" 5/18/2024 "," Powerball® Numbers 19 - 36 - 37 - 42 - 59 "," 19 "," 2 "," "
""," Double Play® Numbers 15 - 17 - 28 - 36 - 60 "," 9 "," --- "," "
" 5/15/2024 "," Powerball® Numbers 19 - 42 - 45 - 55 - 69 "," 6 "," 2 "," "
""," Double Play® Numbers 8 - 9 - 29 - 57 - 65 "," 10 "," --- "," "
" 5/13/2024 "," Powerball® Numbers 5 - 14 - 29 - 38 - 66 "," 1 "," 2 "," "
""," Double Play® Numbers 6 - 14 - 21 - 58 - 69 "," 16 "," --- "," "
" 5/11/2024 "," Powerball® Numbers 3 - 6 - 39 - 49 - 67 "," 21 "," 2 "," "
""," Double Play® Numbers 21 - 24 - 32 - 39 - 55 "," 16 "," --- "," "
" 5/8/2024 "," Powerball® Numbers 7 - 41 - 43 - 44 - 51 "," 5 "," 2 "," "
""," Double Play® Numbers 10 - 22 - 43 - 55 - 57 "," 2 "," --- "," "
" 5/6/2024 "," Powerball® Numbers 7 - 23 - 24 - 56 - 60 "," 25 "," 2 "," "
""," Double Play® Numbers 10 - 56 - 58 - 59 - 67 "," 20 "," --- "," "
" 5/4/2024 "," Powerball® Numbers 14 - 20 - 23 - 53 - 69 "," 4 "," 2 "," "
""," Double Play® Numbers 1 - 8 - 27 - 63 - 66 "," 26 "," --- "," "
" 5/1/2024 "," Powerball® Numbers 1 - 11 - 19 - 21 - 68 "," 15 "," 2 "," "
""," Double Play® Numbers 6 - 15 - 19 - 42 - 45 "," 16 "," --- "," "
" 4/29/2024 "," Powerball® Numbers 11 - 38 - 47 - 67 - 69 "," 14 "," 2 "," "
""," Double Play® Numbers 11 - 44 - 50 - 54 - 59 "," 13 "," --- "," "
" 4/27/2024 "," Powerball® Numbers 9 - 30 - 53 - 55 - 62 "," 23 "," 3 "," "
""," Double Play® Numbers 12 - 28 - 36 - 47 - 65 "," 22 "," --- "," "
" 4/24/2024 "," Powerball® Numbers 2 - 20 - 22 - 26 - 47 "," 21 "," 4 "," "
""," Double Play® Numbers 23 - 25 - 45 - 46 - 62 "," 25 "," --- "," "
" 4/22/2024 "," Powerball® Numbers 12 - 16 - 33 - 39 - 52 "," 1 "," 2 "," "
""," Double Play® Numbers 11 - 15 - 25 - 32 - 39 "," 23 "," --- "," "
" 4/20/2024 "," Powerball® Numbers 4 - 35 - 41 - 44 - 58 "," 25 "," 3 "," "
""," Double Play® Numbers 25 - 28 - 36 - 38 - 68 "," 23 "," --- "," "
" 4/17/2024 "," Powerball® Numbers 24 - 29 - 44 - 47 - 54 "," 2 "," 2 "," "
""," Double Play® Numbers 7 - 8 - 25 - 39 - 68 "," 7 "," --- "," "
" 4/15/2024 "," Powerball® Numbers 7 - 16 - 41 - 56 - 61 "," 23 "," 3 "," "
""," Double Play® Numbers 3 - 25 - 52 - 60 - 64 "," 17 "," --- "," "
" 4/13/2024 "," Powerball® Numbers 7 - 33 - 40 - 43 - 69 "," 10 "," 5 "," "
""," Double Play® Numbers 39 - 55 - 60 - 65 - 69 "," 26 "," --- "," "
" 4/10/2024 "," Powerball® Numbers 6 - 7 - 12 - 24 - 36 "," 15 "," 2 "," "
""," Double Play® Numbers 8 - 21 - 24 - 57 - 64 "," 2 "," --- "," "
" 4/8/2024 "," Powerball® Numbers 6 - 21 - 23 - 39 - 54 "," 23 "," 2 "," "
""," Double Play® Numbers 7 - 40 - 45 - 58 - 61 "," 14 "," --- "," "
" 4/6/2024 "," Powerball® Numbers 22 - 27 - 44 - 52 - 69 "," 9 "," 3 "," "
""," Double Play® Numbers 16 - 19 - 56 - 59 - 66 "," 14 "," --- "," "
" 4/3/2024 "," Powerball® Numbers 11 - 38 - 41 - 62 - 65 "," 15 "," 3 "," "
""," Double Play® Numbers 10 - 44 - 53 - 60 - 63 "," 13 "," --- "," "
" 4/1/2024 "," Powerball® Numbers 19 - 24 - 40 - 42 - 56 "," 23 "," 2 "," "
""," Double Play® Numbers 12 - 15 - 28 - 30 - 39 "," 12 "," --- "," "
" 3/30/2024 "," Powerball® Numbers 12 - 13 - 33 - 50 - 52 "," 23 "," 3 "," "
""," Double Play® Numbers 20 - 29 - 43 - 57 - 63 "," 16 "," --- "," "
" 3/27/2024 "," Powerball® Numbers 37 - 46 - 57 - 60 - 66 "," 8 "," 2 "," "
""," Double Play® Numbers 31 - 47 - 52 - 53 - 57 "," 23 "," --- "," "
" 3/25/2024 "," Powerball® Numbers 7 - 11 - 19 - 53 - 68 "," 23 "," 2 "," "
""," Double Play® Numbers 2 - 14 - 20 - 28 - 64 "," 4 "," --- "," "
" 3/23/2024 "," Powerball® Numbers 6 - 23 - 25 - 34 - 51 "," 3 "," 2 "," "
""," Double Play® Numbers 18 - 24 - 43 - 46 - 47 "," 11 "," --- "," "
" 3/20/2024 "," Powerball® Numbers 13 - 22 - 27 - 54 - 66 "," 9 "," 2 "," "
""," Double Play® Numbers 7 - 9 - 10 - 26 - 43 "," 24 "," --- "," "
" 3/18/2024 "," Powerball® Numbers 10 - 17 - 20 - 39 - 44 "," 16 "," 3 "," "
""," Double Play® Numbers 11 - 44 - 55 - 63 - 68 "," 17 "," --- "," "
" 3/16/2024 "," Powerball® Numbers 12 - 23 - 44 - 57 - 61 "," 5 "," 2 "," "
""," Double Play® Numbers 9 - 11 - 13 - 29 - 69 "," 12 "," --- "," "
" 3/13/2024 "," Powerball® Numbers 21 - 29 - 54 - 59 - 62 "," 4 "," 2 "," "
""," Double Play® Numbers 2 - 25 - 64 - 65 - 67 "," 5 "," --- "," "
" 3/11/2024 "," Powerball® Numbers 1 - 3 - 7 - 16 - 66 "," 5 "," 5 "," "
""," Double Play® Numbers 15 - 25 - 35 - 41 - 62 "," 12 "," --- "," "
" 3/9/2024 "," Powerball® Numbers 30 - 36 - 49 - 52 - 63 "," 16 "," 5 "," "
""," Double Play® Numbers 41 - 43 - 49 - 55 - 67 "," 20 "," --- "," "
" 3/6/2024 "," Powerball® Numbers 6 - 19 - 28 - 44 - 60 "," 10 "," 2 "," "
""," Double Play® Numbers 30 - 31 - 36 - 52 - 58 "," 16 "," --- "," "
" 3/4/2024 "," Powerball® Numbers 36 - 42 - 50 - 52 - 67 "," 26 "," 2 "," "
""," Double Play® Numbers 3 - 19 - 29 - 53 - 59 "," 4 "," --- "," "
" 3/2/2024 "," Powerball® Numbers 3 - 18 - 27 - 36 - 53 "," 12 "," 2 "," "
""," Double Play® Numbers 18 - 31 - 36 - 43 - 61 "," 10 "," --- "," "
" 2/28/2024 "," Powerball® Numbers 16 - 26 - 29 - 38 - 50 "," 6 "," 2 "," "
""," Double Play® Numbers 14 - 38 - 41 - 47 - 67 "," 7 "," --- "," "
" 2/26/2024 "," Powerball® Numbers 24 - 29 - 42 - 51 - 54 "," 16 "," 3 "," "
""," Double Play® Numbers 1 - 3 - 8 - 30 - 41 "," 8 "," --- "," "
" 2/24/2024 "," Powerball® Numbers 3 - 8 - 40 - 53 - 58 "," 3 "," 3 "," "
""," Double Play® Numbers 5 - 6 - 16 - 34 - 35 "," 17 "," --- "," "
" 2/21/2024 "," Powerball® Numbers 4 - 27 - 33 - 41 - 42 "," 14 "," 2 "," "
""," Double Play® Numbers 23 - 49 - 51 - 54 - 58 "," 11 "," --- "," "
" 2/19/2024 "," Powerball® Numbers 4 - 23 - 45 - 50 - 53 "," 17 "," 3 "," "
""," Double Play® Numbers 9 - 18 - 30 - 47 - 63 "," 14 "," --- "," "
" 2/17/2024 "," Powerball® Numbers 6 - 28 - 59 - 62 - 69 "," 21 "," 3 "," "
""," Double Play® Numbers 14 - 47 - 49 - 61 - 66 "," 18 "," --- "," "
" 2/14/2024 "," Powerball® Numbers 1 - 4 - 45 - 47 - 67 "," 18 "," 2 "," "
""," Double Play® Numbers 33 - 40 - 45 - 48 - 53 "," 17 "," --- "," "
" 2/12/2024 "," Powerball® Numbers 17 - 36 - 43 - 53 - 67 "," 14 "," 2 "," "
""," Double Play® Numbers 29 - 49 - 51 - 61 - 66 "," 2 "," --- "," "
" 2/10/2024 "," Powerball® Numbers 27 - 28 - 34 - 37 - 44 "," 8 "," 2 "," "
""," Double Play® Numbers 12 - 15 - 32 - 50 - 64 "," 15 "," --- "," "
" 2/7/2024 "," Powerball® Numbers 12 - 21 - 62 - 67 - 69 "," 17 "," 3 "," "
""," Double Play® Numbers 8 - 17 - 36 - 56 - 62 "," 23 "," --- "," "
" 2/5/2024 "," Powerball® Numbers 1 - 2 - 27 - 30 - 67 "," 9 "," 5 "," "
""," Double Play® Numbers 1 - 7 - 35 - 52 - 54 "," 20 "," --- "," "
" 2/3/2024 "," Powerball® Numbers 9 - 11 - 27 - 59 - 66 "," 19 "," 3 "," "
""," Double Play® Numbers 23 - 26 - 30 - 35 - 39 "," 13 "," --- "," "
" 1/31/2024 "," Powerball® Numbers 15 - 18 - 19 - 41 - 43 "," 14 "," 2 "," "
""," Double Play® Numbers 13 - 15 - 18 - 21 - 58 "," 25 "," --- "," "
" 1/29/2024 "," Powerball® Numbers 39 - 41 - 43 - 49 - 64 "," 4 "," 2 "," "
""," Double Play® Numbers 31 - 44 - 45 - 63 - 64 "," 16 "," --- "," "
" 1/27/2024 "," Powerball® Numbers 7 - 38 - 65 - 66 - 68 "," 21 "," 2 "," "
""," Double Play® Numbers 4 - 28 - 34 - 50 - 61 "," 16 "," --- "," "
" 1/24/2024 "," Powerball® Numbers 1 - 5 - 32 - 50 - 64 "," 8 "," 4 "," "
""," Double Play® Numbers 7 - 28 - 46 - 47 - 58 "," 18 "," --- "," "
" 1/22/2024 "," Powerball® Numbers 24 - 25 - 43 - 52 - 63 "," 21 "," 2 "," "
""," Double Play® Numbers 17 - 31 - 34 - 54 - 63 "," 13 "," --- "," "
" 1/20/2024 "," Powerball® Numbers 16 - 31 - 34 - 47 - 65 "," 10 "," 3 "," "
""," Double Play® Numbers 13 - 26 - 30 - 40 - 50 "," 13 "," --- "," "
" 1/17/2024 "," Powerball® Numbers 18 - 22 - 43 - 61 - 65 "," 2 "," 4 "," "
""," Double Play® Numbers 14 - 38 - 51 - 53 - 55 "," 25 "," --- "," "
" 1/15/2024 "," Powerball® Numbers 13 - 30 - 35 - 49 - 59 "," 4 "," 3 "," "
""," Double Play® Numbers 6 - 16 - 23 - 60 - 62 "," 17 "," --- "," "
" 1/13/2024 "," Powerball® Numbers 13 - 31 - 33 - 51 - 58 "," 15 "," 2 "," "
""," Double Play® Numbers 30 - 41 - 44 - 55 - 58 "," 17 "," --- "," "
" 1/10/2024 "," Powerball® Numbers 25 - 40 - 43 - 48 - 50 "," 11 "," 2 "," "
""," Double Play® Numbers 2 - 7 - 27 - 34 - 51 "," 19 "," --- "," "
" 1/8/2024 "," Powerball® Numbers 7 - 17 - 28 - 40 - 45 "," 2 "," 3 "," "
""," Double Play® Numbers 3 - 38 - 55 - 57 - 62 "," 17 "," --- "," "
" 1/6/2024 "," Powerball® Numbers 4 - 31 - 34 - 38 - 61 "," 13 "," 2 "," "
""," Double Play® Numbers 9 - 14 - 26 - 27 - 32 "," 22 "," --- "," "
" 1/3/2024 "," Powerball® Numbers 30 - 31 - 38 - 48 - 68 "," 8 "," 10 "," "
""," Double Play® Numbers 8 - 9 - 17 - 31 - 56 "," 23 "," --- "," "
" 1/1/2024 "," Powerball® Numbers 12 - 21 - 42 - 44 - 49 "," 1 "," 3 "," "
""," Double Play® Numbers 19 - 31 - 40 - 42 - 64 "," 2 "," --- "," "
" 12/30/2023 "," Powerball® Numbers 10 - 11 - 26 - 27 - 34 "," 7 "," 4 "," "
""," Double Play® Numbers 1 - 4 - 5 - 6 - 42 "," 8 "," --- "," "
" 12/27/2023 "," Powerball® Numbers 4 - 11 - 38 - 51 - 68 "," 5 "," 3 "," "
""," Double Play® Numbers 14 - 29 - 39 - 66 - 67 "," 2 "," --- "," "
" 12/25/2023 "," Powerball® Numbers 5 - 12 - 20 - 24 - 29 "," 4 "," 2 "," "
""," Double Play® Numbers 2 - 3 - 19 - 31 - 42 "," 9 "," --- "," "
" 12/23/2023 "," Powerball® Numbers 9 - 14 - 17 - 18 - 53 "," 6 "," 3 "," "
""," Double Play® Numbers 20 - 37 - 39 - 40 - 43 "," 1 "," --- "," "
" 12/20/2023 "," Powerball® Numbers 27 - 35 - 41 - 56 - 60 "," 16 "," 2 "," "
""," Double Play® Numbers 22 - 25 - 28 - 30 - 53 "," 3 "," --- "," "
" 12/18/2023 "," Powerball® Numbers 5 - 8 - 19 - 34 - 39 "," 26 "," 3 "," "
""," Double Play® Numbers 2 - 8 - 11 - 25 - 51 "," 9 "," --- "," "
" 12/16/2023 "," Powerball® Numbers 3 - 9 - 10 - 20 - 62 "," 25 "," 3 "," "
""," Double Play® Numbers 9 - 39 - 41 - 46 - 65 "," 3 "," --- "," "
" 12/13/2023 "," Powerball® Numbers 3 - 8 - 41 - 56 - 64 "," 18 "," 2 "," "
""," Double Play® Numbers 32 - 53 - 57 - 60 - 63 "," 14 "," --- "," "
" 12/11/2023 "," Powerball® Numbers 1 - 24 - 27 - 31 - 62 "," 20 "," 3 "," "
""," Double Play® Numbers 10 - 12 - 27 - 40 - 65 "," 4 "," --- "," "
" 12/9/2023 "," Powerball® Numbers 5 - 25 - 26 - 40 - 60 "," 1 "," 2 "," "
""," Double Play® Numbers 8 - 14 - 23 - 29 - 37 "," 18 "," --- "," "
" 12/6/2023 "," Powerball® Numbers 2 - 12 - 37 - 56 - 65 "," 21 "," 3 "," "
""," Double Play® Numbers 3 - 23 - 27 - 67 - 68 "," 9 "," --- "," "
" 12/4/2023 "," Powerball® Numbers 18 - 19 - 27 - 28 - 45 "," 9 "," 3 "," "
""," Double Play® Numbers 21 - 51 - 52 - 59 - 63 "," 7 "," --- "," "
" 12/2/2023 "," Powerball® Numbers 28 - 35 - 41 - 47 - 60 "," 3 "," 2 "," "
""," Double Play® Numbers 6 - 32 - 37 - 42 - 67 "," 25 "," --- "," "
" 11/29/2023 "," Powerball® Numbers 6 - 47 - 50 - 61 - 68 "," 4 "," 2 "," "
""," Double Play® Numbers 9 - 13 - 16 - 30 - 36 "," 23 "," --- "," "
" 11/27/2023 "," Powerball® Numbers 2 - 21 - 38 - 61 - 66 "," 12 "," 2 "," "
""," Double Play® Numbers 9 - 29 - 51 - 53 - 61 "," 20 "," --- "," "
" 11/25/2023 "," Powerball® Numbers 27 - 33 - 63 - 66 - 68 "," 9 "," 2 "," "
""," Double Play® Numbers 1 - 27 - 30 - 49 - 62 "," 20 "," --- "," "
" 11/22/2023 "," Powerball® Numbers 20 - 24 - 33 - 39 - 42 "," 21 "," 2 "," "
""," Double Play® Numbers 20 - 21 - 30 - 55 - 56 "," 14 "," --- "," "
" 11/20/2023 "," Powerball® Numbers 19 - 26 - 30 - 39 - 63 "," 13 "," 2 "," "
""," Double Play® Numbers 15 - 21 - 39 - 45 - 52 "," 12 "," --- "," "
" 11/18/2023 "," Powerball® Numbers 34 - 50 - 51 - 61 - 67 "," 20 "," 2 "," "
""," Double Play® Numbers 27 - 32 - 40 - 45 - 47 "," 8 "," --- "," "
" 11/15/2023 "," Powerball® Numbers 3 - 4 - 51 - 53 - 60 "," 6 "," 3 "," "
""," Double Play® Numbers 14 - 15 - 30 - 58 - 59 "," 17 "," --- "," "
" 11/13/2023 "," Powerball® Numbers 24 - 33 - 35 - 37 - 42 "," 21 "," 2 "," "
""," Double Play® Numbers 13 - 14 - 20 - 67 - 69 "," 14 "," --- "," "
" 11/11/2023 "," Powerball® Numbers 1 - 12 - 14 - 24 - 57 "," 7 "," 4 "," "
""," Double Play® Numbers 5 - 17 - 19 - 41 - 49 "," 5 "," --- "," "
" 11/8/2023 "," Powerball® Numbers 14 - 21 - 33 - 39 - 62 "," 20 "," 2 "," "
""," Double Play® Numbers 5 - 20 - 22 - 27 - 63 "," 18 "," --- "," "
" 11/6/2023 "," Powerball® Numbers 12 - 25 - 40 - 59 - 61 "," 26 "," 2 "," "
""," Double Play® Numbers 22 - 23 - 25 - 41 - 56 "," 24 "," --- "," "
" 11/4/2023 "," Powerball® Numbers 1 - 28 - 30 - 34 - 52 "," 6 "," 2 "," "
""," Double Play® Numbers 5 - 15 - 22 - 47 - 66 "," 26 "," --- "," "
" 11/1/2023 "," Powerball® Numbers 22 - 26 - 39 - 47 - 63 "," 12 "," 3 "," "
""," Double Play® Numbers 9 - 26 - 49 - 58 - 61 "," 21 "," --- "," "
" 10/30/2023 "," Powerball® Numbers 19 - 22 - 34 - 66 - 69 "," 5 "," 3 "," "
""," Double Play® Numbers 1 - 4 - 8 - 11 - 66 "," 10 "," --- "," "
" 10/28/2023 "," Powerball® Numbers 14 - 24 - 50 - 59 - 64 "," 2 "," 2 "," "
""," Double Play® Numbers 34 - 48 - 50 - 52 - 66 "," 11 "," --- "," "
" 10/25/2023 "," Powerball® Numbers 25 - 27 - 41 - 53 - 68 "," 2 "," 2 "," "
""," Double Play® Numbers 18 - 19 - 38 - 54 - 55 "," 17 "," --- "," "
" 10/23/2023 "," Powerball® Numbers 18 - 21 - 25 - 46 - 64 "," 21 "," 5 "," "
""," Double Play® Numbers 25 - 44 - 45 - 50 - 58 "," 13 "," --- "," "
" 10/21/2023 "," Powerball® Numbers 6 - 15 - 24 - 67 - 68 "," 11 "," 2 "," "
""," Double Play® Numbers 7 - 18 - 27 - 33 - 61 "," 5 "," --- "," "
" 10/18/2023 "," Powerball® Numbers 1 - 4 - 13 - 35 - 58 "," 24 "," 2 "," "
""," Double Play® Numbers 26 - 59 - 62 - 64 - 65 "," 15 "," --- "," "
" 10/16/2023 "," Powerball® Numbers 2 - 27 - 31 - 44 - 64 "," 18 "," 3 "," "
""," Double Play® Numbers 1 - 2 - 15 - 17 - 34 "," 1 "," --- "," "
" 10/14/2023 "," Powerball® Numbers 14 - 16 - 42 - 48 - 64 "," 14 "," 2 "," "
""," Double Play® Numbers 13 - 21 - 33 - 46 - 50 "," 23 "," --- "," "
" 10/11/2023 "," Powerball® Numbers 22 - 24 - 40 - 52 - 64 "," 10 "," 2 "," "
""," Double Play® Numbers 3 - 40 - 51 - 59 - 66 "," 2 "," --- "," "
" 10/9/2023 "," Powerball® Numbers 16 - 34 - 46 - 55 - 67 "," 14 "," 3 "," "
""," Double Play® Numbers 1 - 20 - 33 - 49 - 59 "," 10 "," --- "," "
" 10/7/2023 "," Powerball® Numbers 47 - 54 - 57 - 60 - 65 "," 19 "," 3 "," "
""," Double Play® Numbers 13 - 31 - 51 - 55 - 66 "," 23 "," --- "," "
